Artist,Album,Song,Year
,,,
12Hz,Nou,Saamstaan,2002
16 Stitch,Beautiful Angelic Paradise,Fallout,2004
340ml,Moving,Midnight,2003
340ml,Sorry for the Delay,Fairy Tales,2008
Abdullah Ibrahim,Blues for a Hip King,Blues for a Hip King,1988
Agro,Ritual 6,Place of Healing,2006
Aking,Dutch Courage,Safe as Houses,2008
Aking,Against all Odds,Against all Odds,2009
Aking,The Red-Blooded Years,Catch A Light,2011
Akkedis,Husse met Lang Ore,Dronk Wees,1998
Akkedis,Voortvlugtend,Skoor Met Die Dood,2001
Al Bairre,Experience the Al Bairre Show,Let's Fall in Love Sometimes,2015
Albert De Wet ,Dagboek Van 'n Dromer,,2007
Albert De Wet ,3 Jaar,,2008
Albert Frost,Devil's & Gods,Television,2009
Albert Frost,The Wake Up,Tonight,2016
Albert Meintjes,The Very Silence of Waking in This Place,Traveling On,2017
Alice Phoebe Lou,Orbit,Society,2016
Alice Phoebe Lou,Paper Castles,Skin Crawl,2019
All Night Radio,The Heart's The Best Part,Heart of My Heart,1984
All Night Radio,The Killing Floor,Believe In Love,1986
Amersham,Pickled,Monkey,1996
Amersham,Wearing Thin,Rolling,1997
Andra,Ever Had That Feeling,The Rain Don't Talk to me No More,2009
Andra,Secrets and Skeletons,Cockroach,2007
Anti Retro Vinyls,Trouble,Would You Like To Pretend,2013
Anton Goosen,Boy van die Suburbs,Boy van die Subburbs,1979
Anton Goosen,Padkos,n Pawpaw Vir My Darling,2017
Arapaho,1/2 Mile From Eden,Butterfly Angel,1997
Architecture of Aggression,Democracy: Consent to Domination,Establish Dominance,2006
Ard Matthews,First Offender,More Fire,2012
Ard Matthews,Impossible Machines,Impossible Machines,2018
Arno Carstens,Another Universe,Another Universe,2003
Arno Carstens,The Hello Goodbye Boys,Hole Heart,2005
Arno Carstens,Aandblom 13,Anderkant,2016
Ashton Nyte,Some Kind of Satellite,Dressing Like You,2015
Ashton Nyte,The Slender Nudes,Glam Vamp Baby,2000
Ashton Nyte,The Valley,Jennifer,2009
Ashtray Electric,Bonjour,Quite Overstared,2008
Assagai,Assagai,,1971
Assagai,Zimbabwe,,1971
Asylum Kids,Fight it With Your Mind,Schoolboy,1981
Awakening,Ethereal Menace,In Etherea,1999
Awakening,Risen,The Sound of Silence,1997
Awakening,Tales of Absolution + Obsoletion,Nothing Like the Rain,2009
Bacchus Nel,In Die Arms van die Nag,Oppieplaas,2005
Bacchus Nel,Twee Ster Hotel,Arm Man Se Slaaf,2015
Bad Peter,Let Go,On This River,2015
Bad Peter,Need To Hear,Need to Hear,2017
Basson Laubscher & the violent Free Peace,Testify,Testify,2017
Battery 9,Protskrog,Kom Hier,1995
Battery 9,Strop ,Kiss The Machine,1996
Battery 9,Sondebok,New Heroes,2002
Battery 9,Wrok,Blaas Hom,1998
BCUC,,,
Beast,Bardo,Healer,2015
Beast,Smoke Big Swear,Walls,2012
Beatenberg,12 Views of Beatenberg,Ode To The Bergwind,2018
Beatenberg,The Hanging Gardens ,Pluto,2014
Bed on Bricks,Humanarium,Humanarian,2003
Bed on Bricks,If You See Kay,Funny,2004
Beeskraal,Plaasdorp,Plaasdorp,2005
Benguela,Are you Awake?,Bones Beneath the Building,2020
Bernoldus Niemand,Wie is Bernoldus Niemand?,Hou my vas Korporaal,1985
Binary,Xero,,2001
Bittereinder,n Ware Verhaal,A Tale of Three Cities,2010
Bittereinder,Die Dinkdansmasjien,Die Dinkdansmasjien,2012
Bittereinder,Skerm,Skerm,2014
Black Cat Bones,Silverton Swamp Songs,O'l Pappa Joe,2009
Black Cat Bones,Beatipiller,Send you Back,2013
Black Coffee,Pieces of Me,Come With Me,2015
Black Handed Kites,Black Handed Kites,Lights,2013
Black Hotels,Beautiful Mornings ,Natalie,2007
Black Hotels,Films for the Next Century,Shapes & Kings,2009
Black Hotels,Honey Badger,No Sign of Science,2011
Black Pistol,Sins of the Father ,Nowhere to Run,2019
BLK JKS,After Robots,Lakeside,2009
Blk Sonshine,Blk Sonshine,Born in a Taxi,2000
Blues Broers,Into The Red,Mother of All Fools,2014
Blues Broers,Sharp Street,Dolly Mae,2012
Bongeziwe Mabandla,iimini,Khangela,2020
